Date,Employee Name,Crew Name,Role,Service Name,Jobs,Hours,Revenue,Total Daily Hours
2025-11-03,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,322.07,10
2025-11-03,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,322.07,10
2025-11-03,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.2,1464.95,10
2025-11-03,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.2,1464.95,10
2025-11-03,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1409.21,10
2025-11-03,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1409.21,10
2025-11-03,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.5,1200,10
2025-11-03,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.5,1200,10
2025-11-04,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.1,1525.18,10
2025-11-04,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.1,1525.18,10
2025-11-04,Jared Turner,Crew #2,,Window Cleaning (Commercial),1,4.6,1264.32,10
2025-11-04,Tyler Thompson,Crew #2,,Window Cleaning (Commercial),1,4.6,1264.32,10
2025-11-04,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.3,304.76,10
2025-11-04,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.3,304.76,10
2025-11-04,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5.5,1400,10
2025-11-04,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5.5,1400,10
2025-11-05,Jared Turner,Crew #2,,Window Cleaning (Residential),1,2.4,354.65,10
2025-11-05,Tyler Thompson,Crew #2,,Window Cleaning (Residential),1,2.4,354.65,10
2025-11-05,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1489.05,10
2025-11-05,Tyler Thompson,Crew #2,,Holiday Lighting Installation,1,5,1489.05,10
2025-11-05,Jared Turner,Crew #2,,Holiday Lighting Installation,1,5,1294.75,10
